bore;ochal;uchal;val;mot;comment;reason
4;4;2;5;3;Love this subject, very engaging;Good instructor engagement
5;1;3;5;5;Too easy, fell asleep during lecture;Meaningful learning goals
3;4;1;1;1;Challenging but manageable;Meaningful learning goals
5;2;1;5;5;Boring repetitive content;Complex theoretical concepts
5;1;4;3;4;Boring repetitive content;Assessment pressure
2;5;3;4;5;Need more examples to understand;Inspiring course content
3;3;5;1;1;Love this subject, very engaging;Assessment pressure
3;4;3;4;4;Content is very interesting;Inadequate support materials
3;3;4;5;5;Material is irrelevant to my future;Clear learning objectives
5;3;4;5;4;Need more time for questions;Good instructor engagement
4;1;3;1;2;Material seems outdated;Previous knowledge gaps
3;3;4;3;2;Professor speaks too fast, can't follow;Attention span challenges
5;5;3;2;5;Too easy, fell asleep during lecture;Well-structured curriculum
2;3;2;1;4;Material is irrelevant to my future;Lack of real-world relevance
4;1;3;2;1;Class pace is perfect for me;Poor teaching methods
2;5;3;2;5;Boring repetitive content;Personal interest in topic
4;2;4;3;2;Struggle to stay focused;Previous knowledge gaps
5;3;4;2;2;Feeling overwhelmed with workload;Teaching pace issues
1;1;1;2;5;Too easy, fell asleep during lecture;Inspiring course content
4;2;1;3;4;Content is very interesting;Positive peer interactions
2;2;2;2;2;Class pace is perfect for me;Lack of real-world relevance
5;4;1;2;4;Content is very interesting;Inadequate support materials
4;5;3;2;2;Material seems outdated;Inadequate support materials
1;3;4;1;2;Boring repetitive content;Positive peer interactions
1;1;1;1;3;Wish we had more practical work;Cognitive overload
3;4;1;1;2;Need more time for questions;Attention span challenges
3;5;2;3;1;Challenging but manageable;Complex theoretical concepts
2;4;2;5;5;Too easy, fell asleep during lecture;Meaningful learning goals
4;5;3;2;5;Assignments are too difficult;Content difficulty mismatch
4;5;4;2;4;Material seems outdated;Personal interest in topic
3;3;2;3;2;Great interactive discussions;Meaningful learning goals
4;5;1;2;1;Challenging but manageable;Complex theoretical concepts
4;4;4;1;4;Need more examples to understand;Time management problems
1;5;4;5;3;Class pace is perfect for me;Personal interest in topic
3;3;1;4;4;Great interactive discussions;Motivating learning environment
5;3;2;2;4;Love this subject, very engaging;Inspiring course content
3;4;1;1;2;Material is irrelevant to my future;Teaching pace issues
5;2;4;4;3;Teacher explains concepts well;Cognitive overload
